"Ocena dokonèanih stanovanj po številu sob in površini, po obèinah, Slovenija, letno"

"OBÈINE";"MERITVE";"2008 Stanovanja - SKUPAJ";"2008 Enosobna";"2008 Dvosobna";"2008 Trisobna";"2008 Štirisobna";"2008 Pet- in veèsobna";"2009 Stanovanja - SKUPAJ";"2009 Enosobna";"2009 Dvosobna";"2009 Trisobna";"2009 Štirisobna";"2009 Pet- in veèsobna";"2010 Stanovanja - SKUPAJ";"2010 Enosobna";"2010 Dvosobna";"2010 Trisobna";"2010 Štirisobna";"2010 Pet- in veèsobna";"2011 Stanovanja - SKUPAJ";"2011 Enosobna";"2011 Dvosobna";"2011 Trisobna";"2011 Štirisobna";"2011 Pet- in veèsobna";"2012 Stanovanja - SKUPAJ";"2012 Enosobna";"2012 Dvosobna";"2012 Trisobna";"2012 Štirisobna";"2012 Pet- in veèsobna";"2013 Stanovanja - SKUPAJ";"2013 Enosobna";"2013 Dvosobna";"2013 Trisobna";"2013 Štirisobna";"2013 Pet- in veèsobna";"2014 Stanovanja - SKUPAJ";"2014 Enosobna";"2014 Dvosobna";"2014 Trisobna";"2014 Štirisobna";"2014 Pet- in veèsobna";"2015 Stanovanja - SKUPAJ";"2015 Enosobna";"2015 Dvosobna";"2015 Trisobna";"2015 Štirisobna";"2015 Pet- in veèsobna";"2016 Stanovanja - SKUPAJ";"2016 Enosobna";"2016 Dvosobna";"2016 Trisobna";"2016 Štirisobna";"2016 Pet- in veèsobna";"2017 Stanovanja - SKUPAJ";"2017 Enosobna";"2017 Dvosobna";"2017 Trisobna";"2017 Štirisobna";"2017 Pet- in veèsobna";"2018 Stanovanja - SKUPAJ";"2018 Enosobna";"2018 Dvosobna";"2018 Trisobna";"2018 Štirisobna";"2018 Pet- in veèsobna";"2019 Stanovanja - SKUPAJ";"2019 Enosobna";"2019 Dvosobna";"2019 Trisobna";"2019 Štirisobna";"2019 Pet- in veèsobna";"2020 Stanovanja - SKUPAJ";"2020 Enosobna";"2020 Dvosobna";"2020 Trisobna";"2020 Štirisobna";"2020 Pet- in veèsobna";"2021 Stanovanja - SKUPAJ";"2021 Enosobna";"2021 Dvosobna";"2021 Trisobna";"2021 Štirisobna";"2021 Pet- in veèsobna";"2022 Stanovanja - SKUPAJ";"2022 Enosobna";"2022 Dvosobna";"2022 Trisobna";"2022 Štirisobna";"2022 Pet- in veèsobna";"2023 Stanovanja - SKUPAJ";"2023 Enosobna";"2023 Dvosobna";"2023 Trisobna";"2023 Štirisobna";"2023 Pet- in veèsobna"
"Ig";"Površina [m2]";3190;0;40;559;581;2010;3812;89;161;782;1626;1154;5928;0;0;284;404;5240;2108;0;0;95;251;1762;3125;0;190;275;956;1704;1368;80;94;70;308;816;1310;0;0;472;304;534;2785;0;0;46;714;2025;2311;0;118;0;96;2097;1988;0;42;58;302;1586;2373;0;0;105;166;2102;3632;100;156;0;447;2929;4186;0;0;132;1335;2719;3095;0;0;0;444;2651;3437;0;0;0;125;3312;3476;0;49;0;379;3048
"Ilirska Bistrica";"Število";18;0;1;1;9;7;54;3;12;16;14;9;22;0;2;4;7;9;14;0;1;3;6;4;20;0;0;2;9;9;20;0;3;3;7;7;14;0;3;1;5;5;28;1;4;2;12;9;11;0;0;4;5;2;9;0;2;1;3;3;21;0;2;1;16;2;8;0;0;2;5;1;7;0;0;2;5;0;7;0;0;0;5;2;5;0;1;2;2;0;11;0;1;1;8;1
"Ilirska Bistrica";"Površina [m2]";2594;0;61;80;1309;1144;5408;116;608;1245;1918;1521;3334;0;229;477;839;1789;2072;0;110;362;932;668;3006;0;0;192;1209;1605;2797;0;161;225;1030;1381;1822;0;180;170;632;840;3526;44;286;191;1773;1232;1594;0;0;585;609;400;1343;0;136;69;407;731;3289;0;99;113;2548;529;1106;0;0;190;712;204;995;0;0;126;869;0;1111;0;0;0;778;333;550;0;124;155;271;0;1416;0;57;164;1028;167
"Ivanèna Gorica";"Število";122;16;42;30;10;24;65;0;1;4;17;43;110;1;2;18;40;49;71;0;2;18;22;29;44;1;1;7;15;20;47;2;3;4;18;20;36;0;1;7;17;11;39;1;0;16;16;6;42;2;1;15;15;9;55;3;2;11;23;16;41;0;4;7;16;14;23;0;3;6;8;6;27;1;3;7;5;11;69;3;6;27;13;20;35;1;0;13;8;13;41;0;0;15;10;16
"Ivanèna Gorica";"Površina [m2]";11883;532;1912;2133;1511;5795;12362;0;59;533;2303;9467;17019;23;230;2116;5445;9205;12713;0;200;2495;3498;6520;8563;42;81;919;2744;4777;9763;60;223;656;3488;5336;6236;0;63;748;2556;2869;5937;52;0;1949;2724;1212;6666;147;93;1890;2427;2109;10455;116;161;1505;4702;3971;7263;0;443;1049;3058;2713;3772;0;210;749;1453;1360;4846;119;264;870;855;2738;10688;435;407;3300;2577;3969;6059;82;0;1780;1654;2543;6999;0;0;2089;1857;3053
"Izola/Isola";"Število";77;12;25;19;16;5;115;15;47;22;13;18;40;3;13;9;10;5;40;7;9;12;8;4;227;127;52;29;15;4;15;3;3;5;2;2;16;4;2;2;3;5;40;8;0;17;12;3;96;20;48;9;11;8;15;4;5;1;4;1;13;1;1;5;5;1;12;0;4;5;0;3;17;0;0;6;6;5;22;4;3;5;8;2;14;3;1;4;4;2;17;1;1;4;5;6
"Izola/Isola";"Površina [m2]";7585;559;1784;1897;2260;1085;8862;561;2218;1526;1359;3198;3639;77;709;1010;1220;623;3705;243;444;1104;1219;695;13647;5809;2902;2476;1831;629;1309;194;162;433;279;241;1713;124;114;161;345;969;3439;342;0;1392;1285;420;7496;779;2521;1128;1778;1290;1594;401;345;80;641;127;1714;71;140;451;735;317;1540;0;290;620;0;630;2822;0;0;508;990;1324;2466;295;133;284;1313;441;2313;101;57;387;1038;730;3294;27;59;307;565;2336
"Jesenice";"Število";198;42;59;72;18;7;55;1;14;20;11;9;66;15;29;5;9;8;16;1;2;0;2;11;10;0;0;0;1;9;15;0;1;3;3;8;11;1;0;1;2;7;9;0;1;0;1;7;8;1;0;0;1;6;15;2;0;5;4;4;7;0;0;1;0;6;6;0;0;1;0;5;19;1;1;8;1;8;9;0;2;2;0;5;7;0;0;1;0;6;11;0;6;0;1;4
"Jesenice";"Površina [m2]";14160;1550;3403;6032;2052;1123;4810;31;882;1343;1311;1243;4531;541;1326;388;979;1297;2125;227;203;0;273;1422;1347;0;0;0;101;1246;1945;0;63;342;321;1219;1390;30;0;62;223;1075;1315;0;90;0;181;1044;1268;263;0;0;211;794;1744;61;0;498;492;693;1202;0;0;92;0;1110;946;0;0;98;0;848;1713;29;40;378;76;1190;1114;0;289;107;0;718;937;0;0;57;0;880;1004;0;360;0;119;525
"Jezersko";"Število";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1;1;3;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;2;0;1;1;0;0;2;0;0;1;0;1;2;0;0;0;1;1;0;0;0;0;0;0
"Jezersko";"Površina [m2]";0;0;0;0;0;0;0;0;0;0;0;0;124;0;0;124;0;0;0;0;0;0;0;0;349;0;0;0;160;189;296;51;0;51;0;194;0;0;0;0;0;0;64;0;0;0;64;0;0;0;0;0;0;0;127;0;0;0;0;127;169;0;0;0;0;169;183;0;0;0;0;183;188;0;59;129;0;0;223;0;0;75;0;148;374;0;0;0;158;216;0;0;0;0;0;0
"Juršinci";"Število";8;1;0;2;1;4;4;0;1;1;2;0;6;0;0;1;0;5;5;0;0;0;1;4;2;0;0;1;0;1;2;0;0;1;0;1;5;1;1;1;2;0;2;0;0;1;0;1;11;2;0;3;2;4;4;0;0;0;2;2;11;0;1;3;1;6;6;1;1;1;1;2;6;0;1;1;2;2;2;0;1;1;0;0;4;0;0;1;1;2;13;0;12;0;1;0
"Juršinci";"Površina [m2]";1170;32;0;160;200;778;328;0;46;104;178;0;856;0;0;75;0;781;1152;0;0;0;314;838;334;0;0;169;0;165;207;0;0;60;0;147;524;18;130;84;292;0;277;0;0;105;0;172;1389;118;0;237;267;767;491;0;0;0;201;290;2437;0;109;345;126;1857;830;194;57;128;84;367;907;0;66;167;347;327;384;0;165;219;0;0;678;0;0;226;65;387;934;0;776;0;158;0
"Kamnik";"Število";46;0;3;6;15;22;54;3;9;15;5;22;96;2;38;8;15;33;191;102;51;5;7;26;49;3;1;2;3;40;45;2;4;5;6;28;32;0;0;4;6;22;29;1;2;1;3;22;32;0;1;4;11;16;29;0;2;4;5;18;29;0;2;1;1;25;43;1;1;1;10;30;39;1;4;3;6;25;38;0;0;0;7;31;37;0;1;0;3;33;40;0;0;5;5;30
"Kamnik";"Površina [m2]";5901;0;238;533;1617;3513;5571;144;521;1249;507;3150;8338;75;1209;725;1651;4678;11715;3870;2616;521;866;3842;7772;97;59;178;346;7092;5839;76;297;366;680;4420;4032;0;0;341;624;3067;4017;43;79;85;384;3426;4348;0;90;308;1406;2544;3811;0;101;322;551;2837;4674;0;102;96;135;4341;7471;42;146;73;1744;5466;6497;252;416;410;864;4555;7361;0;0;0;1273;6088;5555;0;108;0;235;5212;6974;0;0;308;627;6039
"Kanal";"Število";14;7;3;1;2;1;9;0;0;1;4;4;10;0;0;0;5;5;1;0;0;0;1;0;7;0;0;1;2;4;9;0;1;0;4;4;4;0;0;1;0;3;2;0;1;1;0;0;4;0;0;1;0;3;8;0;0;3;3;2;6;0;0;0;2;4;6;0;0;2;1;3;1;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;2;2;0;0;0;0;0;0
"Kanal";"Površina [m2]";1231;357;233;111;220;310;1154;0;0;56;521;577;1741;0;0;0;718;1023;116;0;0;0;116;0;1086;0;0;132;260;694;1660;0;63;0;639;958;717;0;0;96;0;621;227;0;82;145;0;0;594;0;0;142;0;452;1193;0;0;389;405;399;884;0;0;0;230;654;703;0;0;212;187;304;161;0;0;0;0;161;0;0;0;0;0;0;818;0;0;0;442;376;0;0;0;0;0;0
"Kidrièevo";"Število";14;0;0;1;7;6;12;0;2;1;4;5;7;0;0;0;4;3;11;0;0;3;0;8;9;0;1;2;2;4;2;2;0;0;0;0;2;0;0;0;1;1;4;0;1;3;0;0;13;1;1;3;4;4;2;0;0;0;2;0;9;0;1;2;2;4;35;0;1;23;7;4;16;1;2;2;7;4;10;0;1;1;8;0;8;1;1;0;4;2;40;1;0;24;11;4
"Kidrièevo";"Površina [m2]";1768;0;0;124;826;818;1568;0;218;100;427;823;1238;0;0;0;534;704;2228;0;0;400;0;1828;1459;0;52;282;255;870;368;368;0;0;0;0;378;0;0;0;163;215;531;0;45;486;0;0;2153;30;90;548;475;1010;430;0;0;0;430;0;1319;0;70;225;350;674;3408;0;67;1510;1112;719;2493;52;132;204;1017;1088;1803;0;25;267;1511;0;1512;200;59;0;924;329;4268;179;0;1491;2015;583
"Kobarid";"Število";30;9;10;8;1;2;11;0;1;2;3;5;11;0;1;4;1;5;13;0;1;2;7;3;13;1;1;0;4;7;30;6;1;12;1;10;8;0;1;0;1;6;12;0;1;1;2;8;9;0;2;2;2;3;4;0;0;3;1;0;6;0;1;2;1;2;2;0;1;0;0;1;9;0;4;2;1;2;5;1;1;0;2;1;8;1;1;3;2;1;10;0;3;6;0;1
"Kobarid";"Površina [m2]";2016;372;589;644;101;310;1507;0;44;224;317;922;1694;0;109;360;168;1057;1799;0;169;215;856;559;1826;45;98;0;539;1144;3635;186;60;934;113;2342;1333;0;33;0;162;1138;1896;0;57;120;206;1513;1555;0;93;416;417;629;728;0;0;569;159;0;703;0;75;197;96;335;357;0;112;0;0;245;1167;0;278;254;127;508;569;22;41;0;244;262;883;68;43;437;198;137;819;0;171;494;0;154
"Kobilje";"Število";1;0;0;0;0;1;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;3;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;4;0;1;0;0;3;1;0;0;0;0;1;2;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;4;0;1;1;0;2;2;0;0;1;0;1;1;0;0;0;0;1
"Kobilje";"Površina [m2]";188;0;0;0;0;188;353;0;70;0;0;283;0;0;0;0;0;0;0;0;0;0;0;0;99;0;0;0;99;0;377;0;0;81;87;209;159;0;0;0;0;159;0;0;0;0;0;0;494;0;60;0;0;434;131;0;0;0;0;131;347;0;0;0;169;178;127;0;0;0;0;127;0;0;0;0;0;0;551;0;31;102;0;418;159;0;0;84;0;75;81;0;0;0;0;81
"Koèevje";"Število";131;1;83;8;27;12;25;1;1;10;7;6;28;0;6;16;4;2;22;0;2;5;8;7;22;0;3;6;10;3;9;0;0;5;3;1;17;1;2;0;11;3;21;0;2;4;5;10;12;0;0;2;5;5;81;0;36;37;3;5;6;0;0;3;1;2;16;1;5;6;2;2;57;22;23;4;4;4;11;1;0;6;0;4;10;0;1;2;2;5;14;0;0;4;3;7
"Koèevje";"Površina [m2]";10498;34;3944;759;3418;2343;3711;45;55;1123;1311;1177;3600;0;558;2009;696;337;3162;0;92;726;1293;1051;2432;0;244;569;1175;444;1018;0;0;466;457;95;2255;30;288;0;1474;463;2736;0;100;386;667;1583;1934;0;0;235;830;869;6812;0;2539;2950;398;925;726;0;0;316;120;290;2078;50;530;894;238;366;3945;900;1245;567;583;650;1574;40;0;846;0;688;1442;0;73;226;270;873;2313;0;0;569;508;1236
"Komen";"Število";20;0;3;1;4;12;11;0;0;1;4;6;6;0;1;1;1;3;9;0;1;1;1;6;9;0;0;0;3;6;6;0;4;1;1;0;3;0;0;2;1;0;2;0;0;0;1;1;6;0;0;3;0;3;4;0;0;1;3;0;3;0;0;2;0;1;5;1;0;2;1;1;5;0;1;2;2;0;2;0;0;1;1;0;7;0;3;2;2;0;20;11;2;1;3;3
"Komen";"Površina [m2]";2724;0;225;80;423;1996;1526;0;0;120;428;978;1038;0;60;206;189;583;1474;0;65;107;223;1079;1622;0;0;0;480;1142;756;0;236;145;375;0;306;0;0;160;146;0;441;0;0;0;210;231;1296;0;0;486;0;810;457;0;0;111;346;0;530;0;0;293;0;237;890;18;0;296;161;415;1502;0;56;832;614;0;414;0;0;130;284;0;1117;0;221;300;596;0;2663;1206;89;126;426;816
"Komenda";"Število";55;0;0;1;13;41;149;10;2;71;27;39;176;24;61;43;18;30;102;13;35;24;13;17;10;0;1;0;1;8;26;0;0;3;12;11;17;0;0;0;1;16;7;0;0;0;1;6;20;0;0;0;6;14;10;0;0;0;1;9;6;0;1;1;1;3;9;0;0;1;1;7;7;0;0;0;0;7;18;0;1;0;10;7;19;2;1;0;0;16;22;0;4;0;4;14
"Komenda";"Površina [m2]";7020;0;0;93;1353;5574;17199;600;140;6452;3478;6529;15750;917;4018;4208;2295;4312;8536;568;1990;1988;1447;2543;1184;0;47;0;125;1012;3259;0;0;268;1221;1770;2565;0;0;0;132;2433;1119;0;0;0;81;1038;2961;0;0;0;645;2316;1708;0;0;0;127;1581;665;0;72;101;88;404;1359;0;0;69;78;1212;875;0;0;0;0;875;2656;0;180;0;1328;1148;3033;82;41;0;0;2910;2947;0;198;0;674;2075
"Koper/Capodistria";"Število";265;9;74;40;55;87;455;121;117;80;60;77;152;0;8;35;38;71;227;60;61;21;35;50;200;116;9;7;28;40;52;0;3;7;20;22;57;1;0;9;17;30;34;0;3;1;9;21;48;1;4;7;17;19;32;0;0;2;8;22;70;2;7;16;13;32;80;5;2;9;18;46;55;1;1;3;21;29;43;3;2;4;12;22;163;38;22;54;18;31;69;2;9;3;5;50
"Koper/Capodistria";"Površina [m2]";28829;294;4513;3589;6671;13762;46879;8983;10170;7532;7771;12423;20990;0;514;3005;4656;12815;21989;2400;3889;2056;4783;8861;15187;2710;438;928;3159;7952;7458;0;270;620;2533;4035;9006;40;0;1057;2250;5659;5413;0;212;82;1204;3915;6991;35;267;801;2728;3160;5364;0;0;413;1017;3934;7764;155;244;976;1376;5013;7865;149;85;509;1834;5288;8105;22;42;278;2556;5207;6166;78;113;294;1564;4117;15223;1675;1611;4647;2076;5214;10268;134;590;200;821;8523
"Kostanjevica na Krki";"Število";1;0;0;0;0;1;1;0;0;0;0;1;10;1;1;2;4;2;7;0;0;2;1;4;9;0;0;1;1;7;4;0;0;1;1;2;3;0;0;0;2;1;5;0;1;2;1;1;3;0;0;0;0;3;5;0;0;1;2;2;5;0;0;1;2;2;2;0;0;2;0;0;9;0;0;5;0;4;3;0;0;3;0;0;4;1;0;2;0;1;0;0;0;0;0;0
"Kostanjevica na Krki";"Površina [m2]";91;0;0;0;0;91;251;0;0;0;0;251;1055;45;41;396;226;347;939;0;0;192;135;612;1057;0;0;56;136;865;655;0;0;121;164;370;344;0;0;0;238;106;484;0;30;250;75;129;450;0;0;0;0;450;770;0;0;94;375;301;734;0;0;180;365;189;340;0;0;340;0;0;1369;0;0;684;0;685;304;0;0;304;0;0;462;103;0;247;0;112;0;0;0;0;0;0
"Kostel";"Število";5;0;0;1;2;2;1;0;0;1;0;0;4;0;4;0;0;0;5;0;1;2;2;0;3;0;1;2;0;0;2;0;0;0;1;1;6;0;4;0;1;1;1;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;1;0;0;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kostel";"Površina [m2]";649;0;0;60;363;226;95;0;0;95;0;0;270;0;270;0;0;0;495;0;66;194;235;0;216;0;30;186;0;0;282;0;0;0;70;212;455;0;214;0;76;165;93;0;93;0;0;0;180;0;180;0;0;0;0;0;0;0;0;0;70;0;70;0;0;0;214;0;104;0;0;110;65;0;65;0;0;0;82;0;0;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kozje";"Število";7;0;0;1;2;4;6;0;1;0;3;2;10;1;0;0;1;8;17;1;0;5;1;10;9;0;0;1;1;7;16;0;0;1;2;13;5;0;0;0;0;5;5;0;0;1;1;3;7;0;0;1;1;5;5;0;0;0;1;4;1;0;0;0;1;0;1;0;0;0;0;1;4;0;1;0;0;3;1;0;0;0;0;1;5;1;0;0;2;2;9;0;1;6;1;1
"Kozje";"Površina [m2]";864;0;0;75;233;556;606;0;42;0;337;227;1210;20;0;0;128;1062;2228;69;0;438;112;1609;1265;0;0;101;106;1058;2461;0;0;154;293;2014;1133;0;0;0;0;1133;721;0;0;90;180;451;1438;0;0;120;156;1162;712;0;0;0;96;616;100;0;0;0;100;0;95;0;0;0;0;95;606;0;97;0;0;509;177;0;0;0;0;177;975;39;0;0;334;602;944;0;53;651;69;171
"Kranj";"Število";331;39;132;63;46;51;534;143;157;81;96;57;167;9;33;16;67;42;119;8;20;30;24;37;86;7;19;4;17;39;102;8;37;8;20;29;29;0;2;3;9;15;26;0;0;5;13;8;26;2;1;3;6;14;44;0;0;4;16;24;42;2;5;1;7;27;70;1;3;10;22;34;73;5;16;19;11;22;62;0;1;8;15;38;93;13;20;12;21;27;112;1;3;7;23;78
"Kranj";"Površina [m2]";33387;1997;8350;5534;6165;11341;41039;4283;8017;6500;11769;10470;27367;337;1733;1213;14461;9623;14981;297;1009;2329;2717;8629;11856;252;1066;499;2520;7519;12415;352;2721;701;2691;5950;4404;0;209;351;1436;2408;4277;0;0;698;1752;1827;4302;230;257;457;639;2719;5626;0;0;275;1921;3430;6825;60;277;97;761;5630;10104;42;189;876;3037;5960;7792;170;970;1628;1333;3691;9845;0;157;793;1995;6900;10491;613;1335;870;3034;4639;16469;79;242;619;3078;12451
"Kranjska Gora";"Število";49;2;20;9;6;12;97;3;9;54;20;11;27;1;4;9;7;6;32;4;18;5;3;2;8;1;0;0;2;5;10;0;1;6;0;3;5;0;0;0;2;3;15;0;0;6;2;7;9;0;3;3;0;3;9;0;0;2;2;5;13;0;0;6;0;7;10;2;5;0;2;1;26;0;4;15;3;4;40;5;9;11;3;12;12;0;1;3;2;6;16;0;0;3;3;10
"Kranjska Gora";"Površina [m2]";5135;106;1294;765;825;2145;8815;108;636;4272;2288;1511;2762;62;246;647;873;934;1596;147;307;407;283;452;1315;77;0;0;272;966;794;0;32;450;0;312;1130;0;0;0;404;726;2174;0;0;404;370;1400;1005;0;184;327;0;494;1278;0;0;126;284;868;1446;0;0;439;0;1007;906;259;322;0;247;78;1883;0;204;618;328;733;3404;147;598;673;305;1681;1474;0;43;177;194;1060;1524;0;0;217;349;958
"Križevci";"Število";8;0;1;0;5;2;12;0;0;2;2;8;8;0;1;0;4;3;14;0;1;3;4;6;6;0;1;0;3;2;6;0;1;0;4;1;7;1;1;2;2;1;4;0;1;2;0;1;5;0;2;0;1;2;4;0;0;0;2;2;5;0;0;2;1;2;6;0;0;1;3;2;6;0;0;0;4;2;8;0;0;2;4;2;6;0;0;1;4;1;8;0;0;0;3;5
"Križevci";"Površina [m2]";1042;0;82;0;600;360;1870;0;0;262;314;1294;1030;0;61;0;625;344;1921;0;26;282;500;1113;923;0;43;0;478;402;677;0;31;0;514;132;634;19;53;183;231;148;400;0;54;194;0;152;485;0;115;0;116;254;545;0;0;0;267;278;603;0;0;230;40;333;654;0;0;74;334;246;771;0;0;0;523;248;953;0;0;264;439;250;793;0;0;174;429;190;1366;0;0;0;398;968
"Krško";"Število";74;17;12;15;14;16;61;1;8;10;22;20;58;1;23;10;14;10;49;1;1;8;18;21;46;0;0;3;7;36;39;1;3;10;18;7;39;0;0;7;13;19;29;0;7;3;8;11;45;0;7;8;12;18;53;5;3;13;9;23;46;1;6;15;9;15;39;1;4;16;7;11;50;5;2;21;9;13;59;34;1;6;6;12;21;2;0;6;6;7;21;0;1;6;6;8
"Krško";"Površina [m2]";9177;1427;906;1580;1901;3363;9047;42;524;916;3255;4310;7973;146;1956;1658;2489;1724;7344;51;26;1129;2526;3612;5864;0;0;310;702;4852;5080;45;254;1050;2526;1205;5580;0;0;1106;1626;2848;3067;0;403;391;880;1393;5488;0;503;783;1394;2808;6679;220;304;1830;1206;3119;7080;49;427;2715;1518;2371;5378;34;354;2074;1090;1826;6199;223;148;2113;1711;2004;6426;3049;40;738;723;1876;3911;218;0;947;1294;1452;4372;0;153;882;1228;2109
"Kungota";"Število";31;0;0;3;11;17;54;0;5;7;6;36;35;2;8;8;3;14;41;0;0;3;7;31;24;0;3;9;1;11;16;1;0;2;4;9;13;0;1;0;3;9;8;1;1;1;0;5;8;0;0;2;3;3;5;0;0;2;1;2;5;0;1;0;1;3;9;0;1;1;1;6;14;0;3;4;4;3;20;0;1;12;5;2;19;0;1;3;10;5;10;0;0;3;4;3
"Kungota";"Površina [m2]";5235;0;0;404;1659;3172;9098;0;304;772;882;7140;5103;136;511;988;482;2986;7682;0;0;285;1306;6091;3608;0;201;1129;191;2087;2565;43;0;184;665;1673;2318;0;76;0;507;1735;1163;132;107;58;0;866;1070;0;0;244;303;523;1050;0;0;251;242;557;932;0;82;0;196;654;1205;0;28;96;120;961;1801;0;148;509;445;699;2098;0;125;1042;572;359;3604;0;68;379;1615;1542;1718;0;0;520;543;655
"Kuzma";"Število";12;1;1;3;3;4;7;0;0;0;5;2;4;0;0;2;0;2;3;0;1;0;0;2;6;0;2;1;1;2;3;0;1;1;0;1;6;0;0;2;1;3;6;1;1;0;1;3;8;0;1;3;3;1;3;0;0;3;0;0;7;1;1;2;2;1;16;10;0;1;5;0;3;0;0;0;1;2;6;0;1;2;3;0;1;0;0;0;0;1;3;0;2;1;0;0
"Kuzma";"Površina [m2]";1754;46;93;321;333;961;844;0;0;0;508;336;604;0;0;243;0;361;385;0;107;0;0;278;852;0;125;73;205;449;364;0;75;36;0;253;1320;0;0;250;274;796;654;32;19;0;182;421;1588;0;27;310;536;715;246;0;0;246;0;0;754;55;40;159;298;202;1155;391;0;186;578;0;542;0;0;0;77;465;777;0;42;240;495;0;185;0;0;0;0;185;334;0;121;213;0;0
"Laško";"Število";27;0;0;3;11;13;16;0;1;2;8;5;17;2;1;0;2;12;24;2;2;3;8;9;11;0;1;0;4;6;23;1;1;2;3;16;19;0;1;0;4;14;16;0;1;0;6;9;35;0;3;4;5;23;8;0;0;0;0;8;7;0;0;1;1;5;10;0;0;0;3;7;8;0;1;1;1;5;11;0;0;2;3;6;6;0;0;0;1;5;7;1;0;2;1;3
"Laško";"Površina [m2]";4784;0;0;292;1907;2585;2326;0;19;124;1126;1057;2358;100;100;0;348;1810;3179;22;56;83;1228;1790;1474;0;30;0;422;1022;1944;15;34;111;198;1586;1882;0;22;0;310;1550;1265;0;75;0;357;833;4461;0;120;333;470;3538;978;0;0;0;0;978;948;0;0;60;63;825;1110;0;0;0;256;854;795;0;29;54;72;640;1068;0;0;79;308;681;639;0;0;0;69;570;610;59;0;131;65;355
"Lenart";"Število";86;22;23;3;11;27;63;0;4;15;17;27;54;0;11;22;6;15;22;0;1;7;2;12;135;16;45;39;20;15;85;4;23;26;19;13;17;0;2;3;3;9;25;3;2;6;3;11;15;0;2;1;5;7;18;0;1;4;8;5;10;1;1;2;3;3;22;0;5;4;6;7;19;0;1;7;5;6;18;0;2;1;6;9;59;0;4;2;7;46;28;1;4;3;10;10
"Lenart";"Površina [m2]";10321;590;1205;445;1925;6156;9819;0;217;1414;2836;5352;6601;0;579;1706;842;3474;3612;0;157;913;345;2197;10560;615;2336;2595;2157;2857;9337;151;1692;2241;2585;2668;2767;0;234;288;458;1787;2965;128;81;491;299;1966;2782;0;95;160;1031;1496;2594;0;64;442;1174;914;1591;69;97;271;447;707;2928;0;322;326;890;1390;3356;0;120;608;1208;1420;2849;0;169;67;927;1686;3950;0;272;290;1135;2253;3980;46;296;473;1291;1874
"Lendava/Lendva";"Število";26;2;0;12;9;3;41;9;17;4;6;5;24;0;2;7;8;7;17;1;2;7;6;1;27;2;1;6;11;7;24;0;3;7;6;8;17;2;1;4;6;4;16;2;3;2;6;3;32;1;2;0;12;17;5;0;0;1;1;3;8;0;1;4;2;1;7;0;1;2;1;3;14;0;1;3;5;5;13;1;0;3;4;5;11;1;0;5;4;1;12;1;2;3;2;4
"Lendava/Lendva";"Površina [m2]";3255;76;0;1154;1098;927;3712;420;1149;445;1018;680;3381;0;162;777;1197;1245;1624;24;66;511;893;130;4067;131;47;545;1842;1502;2729;0;185;509;707;1328;1980;66;51;392;714;757;1607;82;212;129;679;505;4081;74;198;0;1114;2695;544;0;0;30;78;436;675;0;32;249;254;140;728;0;68;99;90;471;1741;0;161;194;579;807;1342;49;0;271;465;557;1122;47;0;414;566;95;1235;17;111;353;181;573
"Litija";"Število";77;11;28;11;7;20;150;23;66;32;3;26;61;0;2;3;21;35;47;0;0;7;3;37;67;0;1;6;10;50;40;0;4;0;5;31;41;0;2;5;3;31;18;0;0;0;0;18;33;1;1;2;2;27;32;2;3;3;5;19;23;0;0;2;6;15;14;1;0;0;0;13;15;0;1;1;2;11;29;2;0;0;3;24;7;1;0;0;1;5;21;0;0;0;0;21
"Litija";"Površina [m2]";7763;370;1415;828;881;4269;11541;903;3291;2102;299;4946;10288;0;285;379;3173;6451;8870;0;0;978;418;7474;11365;0;73;499;1192;9601;6788;0;223;0;539;6026;6905;0;104;472;308;6021;3798;0;0;0;0;3798;5781;76;68;383;282;4972;4802;53;160;259;411;3919;3468;0;0;125;647;2696;2683;154;0;0;0;2529;2534;0;273;113;228;1920;4295;51;0;0;271;3973;1304;65;0;0;86;1153;3264;0;0;0;0;3264
"Ljubljana";"Število";1561;432;438;392;186;113;830;94;250;251;87;148;464;80;63;137;72;112;716;61;270;215;82;88;150;3;11;10;50;76;130;5;15;12;24;74;432;66;149;86;41;90;249;51;32;50;41;75;171;16;8;25;39;83;188;28;34;22;31;73;269;18;68;30;59;94;470;13;70;137;86;164;347;12;60;93;58;124;394;45;62;66;52;169;496;17;66;102;106;205;797;73;228;232;116;148
